"At","Sentimen","Review","Bintang","Aspek"
"2020-10-18 19:32:19","1","gud","5","Lainnya"
"2020-10-17 20:18:47","1","Seneng belanja disini karna dah pastinya ori, pengiriman langsung jalan satu hari setelah bayar. Banyak diskon, admin responsif juga, metode pembayaran juga banyak dan reachable. Suka banget, tapi kadang ada suka eror gaje gitu. Selain itu udh bagus banget sih menurut aku. Recommended.","5","Layanan"
"2020-10-17 07:44:22","-1","Pertamakali order langsung kecewa, di cancel karna barang nya ada satu yg kosong. Proses pengembalian uang ribettttt, check out tgl 13 oktober, konfirmasi tgl 15, uang bakal di kembalikan dalam 7-10 hari kerja maks tgl 2 November... Kelamaan woiiii... Karna banyak antrian refund katanya,.... Gk mau lagi order lewat sini...","1","Layanan"
"2020-10-17 05:29:05","-1","Sociolla parah. Proses refund gak tau harus nunggu berapa lama . Pdahal ini sdh masuk 3hr kerja. Uang saya 775.439 belum dibalikin. Padahal sociolla sendiri yg cancel order saya krn ada stock brg yg kosong. Email juga udah 2hr gak direspon.","1","Layanan"
"2020-10-17 00:12:18","-1","Sy order 4 product di tanggal 11 september dan yg dtg cuman 2... Ini udah 16 oktober artinya udah SEBULAN LEBIHH gak ada kejelasan. Smpe dtg ke counternya buat nanyain malah disuruh hubungi cs nya. Gmn sih pelayanan burukkkkkk","1","Layanan"
"2020-10-16 14:34:27","0","Kecewa bgt sm cs nya sociolla yg bener2 slowrespond nya bgt","3","Layanan"
"2020-10-15 18:16:42","-1","Pembayaran batas waktu nya 24 jam tapi belum 24 jam pas mau bayar transaksi tidak ditemukan . Apaan kecewa banget","1","Layanan"
"2020-10-15 15:21:29","-1","Terlalu sering update:(","2","Tampilan"
"2020-10-15 14:19:26","1","Mempermudah belanja skincareku","5","Layanan"
"2020-10-14 20:31:16","0","Baru di update kemaren. Sekarang mau buka suruh update lagi","3","Tampilan"
"2020-10-14 07:41:15","1","Review nya sangat jelasss","4","Tampilan"
"2020-10-13 22:27:39","1","Recomented banget banyak free nya 🤗😅","5","Produk"
"2020-10-13 21:23:13","1","ngehabisin kuota tpi stuck aja. down tidak segera diperbaiki. bikin voucher hangus dan responnya lambat👿🤬","5","Layanan"
"2020-10-13 15:27:48","1","Baguss","5","Lainnya"
"2020-10-13 08:14:26","1","Good","5","Lainnya"
