,At,Sentimen,Review,Bintang,Aspek,data_cleaned_aspek
0,2020-10-18 19:32:19,1,gud,5,Lainnya,good
1,2020-10-17 20:18:47,1,"Seneng belanja disini karna dah pastinya ori, pengiriman langsung jalan satu hari setelah bayar. Banyak diskon, admin responsif juga, metode pembayaran juga banyak dan reachable. Suka banget, tapi kadang ada suka eror gaje gitu. Selain itu udh bagus banget sih menurut aku. Recommended.",5,Layanan,belanja original bayar diskon responsif metode bayar reachable suka suka error bagus recommended
2,2020-10-17 07:44:22,-1,"Pertamakali order langsung kecewa, di cancel karna barang nya ada satu yg kosong. Proses pengembalian uang ribettttt, check out tgl 13 oktober, konfirmasi tgl 15, uang bakal di kembalikan dalam 7-10 hari kerja maks tgl 2 November... Kelamaan woiiii... Karna banyak antrian refund katanya,.... Gk mau lagi order lewat sini...",1,Layanan,kecewa cancel kosong proses uang sulit check out tanggal  13  oktober konfirmasi tanggal  15  uang  7 - 10  kerja maks tanggal november antri refund
3,2020-10-17 05:29:05,-1,Sociolla parah. Proses refund gak tau harus nunggu berapa lama . Pdahal ini sdh masuk 3hr kerja. Uang saya 775.439 belum dibalikin. Padahal sociolla sendiri yg cancel order saya krn ada stock brg yg kosong. Email juga udah 2hr gak direspon.,1,Layanan,parah proses refund masuk kerja uang  775   439  cancel stock kosong email udah direspon
4,2020-10-17 00:12:18,-1,Sy order 4 product di tanggal 11 september dan yg dtg cuman 2... Ini udah 16 oktober artinya udah SEBULAN LEBIHH gak ada kejelasan. Smpe dtg ke counternya buat nanyain malah disuruh hubungi cs nya. Gmn sih pelayanan burukkkkkk,1,Layanan,product tanggal  11  september udah  16  oktober arti udah counternya suruh hubung customer service layan buruk
5,2020-10-16 14:34:27,0,Kecewa bgt sm cs nya sociolla yg bener2 slowrespond nya bgt,3,Layanan,kecewa customer service slowrespond
6,2020-10-15 18:16:42,-1,Pembayaran batas waktu nya 24 jam tapi belum 24 jam pas mau bayar transaksi tidak ditemukan . Apaan kecewa banget,1,Layanan,bayar batas  24  jam  24  jam bayar transaksi temu kecewa
7,2020-10-15 15:21:29,-1,Terlalu sering update:(,2,Tampilan,update
8,2020-10-15 14:19:26,1,Mempermudah belanja skincareku,5,Layanan,mudah belanja skincare
9,2020-10-14 20:31:16,0,Baru di update kemaren. Sekarang mau buka suruh update lagi,3,Tampilan,update buka perintah update
10,2020-10-14 07:41:15,1,Review nya sangat jelasss,4,Tampilan,
11,2020-10-13 22:27:39,1,Recomented banget banyak free nya 🤗😅,5,Produk,recommended
12,2020-10-13 21:23:13,1,ngehabisin kuota tpi stuck aja. down tidak segera diperbaiki. bikin voucher hangus dan responnya lambat👿🤬,5,Layanan,habis kuota stuck down responnya lambat
13,2020-10-13 15:27:48,1,Baguss,5,Lainnya,bagus
14,2020-10-13 08:14:26,1,Good,5,Lainnya,good
15,2020-10-12 23:34:39,-1,"ini gimana sih kok malah orderan saya dicancel, padahal sudah melakukan pembayaran tgl 9 oktober eh saya cek hari ini tiba2 cancel sih? ini gimana nih dari pihak sociolla apakah ada refund uang apa gimana? sumpah kecewa banget",2,Layanan,dicancel laku bayar tanggal oktober cek cancel refund uang sumpah kecewa
16,2020-10-12 21:15:45,1,"Mendingan skrg aplikasinya ga kluar2 sendiri kaya sebelumnya. Cm saran klo bs produk d kranjang biar bs di klik lg klo2 pgn liat lg review produknya sblm beli, kan repot harus back trs search dlu produk lg.",4,Tampilan,saran produk lihat produk beli sulit back search produk
17,2020-10-12 18:44:35,1,Bagus bgtt,5,Lainnya,bagus
18,2020-10-12 12:31:31,1,Kok jadi suka nutup sendiri ya aplikasi nya padahal sebelumnya ngga :(,5,Tampilan,suka tutup ya
19,2020-10-12 12:08:05,1,"Ngeliat ulasan orang2 saya kaget..pertama x belanja di sini,, alhamdulillah lancar2 aja..brngnya jg sampenya lumyan cpt qo (2 hari)..",5,Layanan,lihat ulas kaget belanja lancar aja brngnya cepat
20,2020-10-12 11:18:12,-1,"Sementara ini dua dulu, bingung banget ngetrack paketnya kalau sudah diperbaiki nambah bintangnya",2,Tampilan,ngetrack paket
21,2020-10-12 10:00:25,1,One stop shopping make up and skin care,5,Lainnya,one stop shopping make up and care
22,2020-10-12 08:25:07,1,Mantep,5,Lainnya,mantap
23,2020-10-11 23:41:15,1,Ok,5,Lainnya,
24,2020-10-11 22:53:16,1,"aplikasi yang bagus, membantu saya sekali untuk membeli dan melihat review produk-produk kecantikan. tapi yang agak disayangkan, kadang suka ada bug atau section wishlist yang harus direfresh berulang2 dan scroll ke bawahnya yang agak lama gitu, bahkan kadang produk yang sebenernya udah saya wishlist, eh di section wishlistnya engga ada. terus reviewnya juga nge-bug. untuk ke depannya semoga ada upgrade buat fixin bugnya~",4,Tampilan,bagus bantu beli lihat produk cantik suka bug section wishlist direfresh scroll produk udah wishlist section wishlistnya nge-bug moga upgrade fixin
25,2020-10-11 22:36:37,1,barang ori n harga bersaing,5,Produk,original harga saing
26,2020-10-11 21:42:18,1,Bagus,5,Lainnya,bagus
27,2020-10-11 16:58:59,1,Good,5,Lainnya,good
28,2020-10-11 15:12:29,-1,"Kecewa sm sociolla, pembayaran pake sopipay ga detect akhirnya gagal co. Trus tiba2 cancel orderan dan refund dananya 7harian lama banget. Org kan mau beli yg lain jd terkendala. Kesellll",2,Layanan,kecewa bayar detect gagal cash on delivery cancel refund dana  7 harian beli kendala kesal
29,2020-10-11 15:07:49,-1,"Baik sekali produk dari sociolla emang keren, apalagi flash salenya wowwww, maxasih sociolla",1,Produk,produk keren flash sale
